filename,detect,coord1,coord2,coord3,coord4
AoF00000,2,0.0,0.0,0.0,0.0
AoF00001,1,0.21622846781504987,0.7391304347826086,0.13689936536718042,0.1505016722408027
AoF00002,0,0.7672493100275989,0.2889072847682119,0.03679852805887764,0.054635761589403975
AoF00003,2,0.0,0.0,0.0,0.0
AoF00004,2,0.0,0.0,0.0,0.0
AoF00005,2,0.0,0.0,0.0,0.0
AoF00006,2,0.0,0.0,0.0,0.0
AoF00007,2,0.0,0.0,0.0,0.0
AoF00008,2,0.0,0.0,0.0,0.0
AoF00009,2,0.0,0.0,0.0,0.0
AoF00010,2,0.0,0.0,0.0,0.0
AoF00011,2,0.0,0.0,0.0,0.0
AoF00012,2,0.0,0.0,0.0,0.0
AoF00013,2,0.0,0.0,0.0,0.0
AoF00014,2,0.0,0.0,0.0,0.0
AoF00015,2,0.0,0.0,0.0,0.0
AoF00016,2,0.0,0.0,0.0,0.0
AoF00017,2,0.0,0.0,0.0,0.0
AoF00018,2,0.0,0.0,0.0,0.0
AoF00019,2,0.0,0.0,0.0,0.0
AoF00020,2,0.0,0.0,0.0,0.0
AoF00021,2,0.0,0.0,0.0,0.0
AoF00022,2,0.0,0.0,0.0,0.0
AoF00023,2,0.0,0.0,0.0,0.0
AoF00024,2,0.0,0.0,0.0,0.0
AoF00025,2,0.0,0.0,0.0,0.0
AoF00026,2,0.0,0.0,0.0,0.0
AoF00027,2,0.0,0.0,0.0,0.0
AoF00028,2,0.0,0.0,0.0,0.0
AoF00029,2,0.0,0.0,0.0,0.0
AoF00030,2,0.0,0.0,0.0,0.0
AoF00031,2,0.0,0.0,0.0,0.0
AoF00032,2,0.0,0.0,0.0,0.0
AoF00033,2,0.0,0.0,0.0,0.0
AoF00034,2,0.0,0.0,0.0,0.0
AoF00035,2,0.0,0.0,0.0,0.0
AoF00036,2,0.0,0.0,0.0,0.0
AoF00037,2,0.0,0.0,0.0,0.0
AoF00038,2,0.0,0.0,0.0,0.0
AoF00039,2,0.0,0.0,0.0,0.0
AoF00040,2,0.0,0.0,0.0,0.0
AoF00041,2,0.0,0.0,0.0,0.0
AoF00042,2,0.0,0.0,0.0,0.0
AoF00043,2,0.0,0.0,0.0,0.0
AoF00044,2,0.0,0.0,0.0,0.0
AoF00045,2,0.0,0.0,0.0,0.0
AoF00046,2,0.0,0.0,0.0,0.0
AoF00047,2,0.0,0.0,0.0,0.0
AoF00048,2,0.0,0.0,0.0,0.0
AoF00049,2,0.0,0.0,0.0,0.0
AoF00050,2,0.0,0.0,0.0,0.0
AoF00051,2,0.0,0.0,0.0,0.0
AoF00052,2,0.0,0.0,0.0,0.0
AoF00053,2,0.0,0.0,0.0,0.0
AoF00054,2,0.0,0.0,0.0,0.0
AoF00055,2,0.0,0.0,0.0,0.0
AoF00056,2,0.0,0.0,0.0,0.0
AoF00057,2,0.0,0.0,0.0,0.0
AoF00058,2,0.0,0.0,0.0,0.0
AoF00059,2,0.0,0.0,0.0,0.0
AoF00060,2,0.0,0.0,0.0,0.0
AoF00061,2,0.0,0.0,0.0,0.0
AoF00062,2,0.0,0.0,0.0,0.0
AoF00063,2,0.0,0.0,0.0,0.0
AoF00064,2,0.0,0.0,0.0,0.0
AoF00065,2,0.0,0.0,0.0,0.0
AoF00066,2,0.0,0.0,0.0,0.0
AoF00067,2,0.0,0.0,0.0,0.0
AoF00068,2,0.0,0.0,0.0,0.0
AoF00069,2,0.0,0.0,0.0,0.0
AoF00070,2,0.0,0.0,0.0,0.0
AoF00071,2,0.0,0.0,0.0,0.0
AoF00072,2,0.0,0.0,0.0,0.0
AoF00073,2,0.0,0.0,0.0,0.0
AoF00074,2,0.0,0.0,0.0,0.0
AoF00075,2,0.0,0.0,0.0,0.0
AoF00076,2,0.0,0.0,0.0,0.0
AoF00077,2,0.0,0.0,0.0,0.0
AoF00078,2,0.0,0.0,0.0,0.0
AoF00079,2,0.0,0.0,0.0,0.0
AoF00080,2,0.0,0.0,0.0,0.0
AoF00081,2,0.0,0.0,0.0,0.0
AoF00082,2,0.0,0.0,0.0,0.0
AoF00083,2,0.0,0.0,0.0,0.0
AoF00084,2,0.0,0.0,0.0,0.0
AoF00085,2,0.0,0.0,0.0,0.0
AoF00086,2,0.0,0.0,0.0,0.0
AoF00087,2,0.0,0.0,0.0,0.0
AoF00088,2,0.0,0.0,0.0,0.0
AoF00089,2,0.0,0.0,0.0,0.0
AoF00090,2,0.0,0.0,0.0,0.0
AoF00091,2,0.0,0.0,0.0,0.0
AoF00092,2,0.0,0.0,0.0,0.0
AoF00093,2,0.0,0.0,0.0,0.0
AoF00094,2,0.0,0.0,0.0,0.0
AoF00095,2,0.0,0.0,0.0,0.0
AoF00096,2,0.0,0.0,0.0,0.0
AoF00097,2,0.0,0.0,0.0,0.0
AoF00098,2,0.0,0.0,0.0,0.0
AoF00099,2,0.0,0.0,0.0,0.0
AoF00100,2,0.0,0.0,0.0,0.0
AoF00101,2,0.0,0.0,0.0,0.0
AoF00102,2,0.0,0.0,0.0,0.0
AoF00103,2,0.0,0.0,0.0,0.0
AoF00104,2,0.0,0.0,0.0,0.0
AoF00105,2,0.0,0.0,0.0,0.0
AoF00106,2,0.0,0.0,0.0,0.0
AoF00107,2,0.0,0.0,0.0,0.0
AoF00108,2,0.0,0.0,0.0,0.0
AoF00109,2,0.0,0.0,0.0,0.0
AoF00110,2,0.0,0.0,0.0,0.0
AoF00111,2,0.0,0.0,0.0,0.0
AoF00112,2,0.0,0.0,0.0,0.0
AoF00113,2,0.0,0.0,0.0,0.0
AoF00114,2,0.0,0.0,0.0,0.0
AoF00115,2,0.0,0.0,0.0,0.0
AoF00116,2,0.0,0.0,0.0,0.0
AoF00117,2,0.0,0.0,0.0,0.0
AoF00118,2,0.0,0.0,0.0,0.0
AoF00119,2,0.0,0.0,0.0,0.0
AoF00120,2,0.0,0.0,0.0,0.0
AoF00121,2,0.0,0.0,0.0,0.0
AoF00122,2,0.0,0.0,0.0,0.0
AoF00123,2,0.0,0.0,0.0,0.0
AoF00124,2,0.0,0.0,0.0,0.0
