epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,476.745,1.73684,1.90678,1.64006,0.35107,0.39691,0.29757,0.11052,2.19945,2.85317,2.00721,0.000554577,0.000554577,0.000554577
2,1026.12,1.80769,1.85998,1.67663,0.45936,0.45631,0.41654,0.18638,1.87604,1.95628,1.7236,0.00108826,0.00108826,0.00108826
3,1657.44,1.73988,1.75828,1.626,0.52295,0.46277,0.45675,0.20816,1.86886,1.80289,1.73321,0.00159994,0.00159994,0.00159994
4,2230.2,1.68761,1.65801,1.58449,0.52454,0.50916,0.49958,0.23513,1.75966,1.66253,1.62158,0.00156798,0.00156798,0.00156798
5,2689.35,1.644,1.58055,1.55972,0.52133,0.48232,0.46512,0.21754,1.82737,1.7188,1.67446,0.00153497,0.00153497,0.00153497
6,3229.96,1.60081,1.51583,1.52515,0.60811,0.56117,0.57515,0.28785,1.67533,1.4669,1.54124,0.00150197,0.00150197,0.00150197
7,3670.39,1.56976,1.46765,1.50304,0.57142,0.55173,0.57048,0.28701,1.64235,1.47469,1.53464,0.00146896,0.00146896,0.00146896
8,4125.84,1.55245,1.4253,1.49109,0.55522,0.52206,0.52711,0.2673,1.68671,1.60706,1.58641,0.00143595,0.00143595,0.00143595
9,4587.92,1.53129,1.40437,1.47861,0.62993,0.58653,0.62517,0.33315,1.58594,1.35262,1.48521,0.00140295,0.00140295,0.00140295
10,5047.22,1.50875,1.36863,1.45767,0.64695,0.59241,0.63216,0.33018,1.59448,1.34683,1.47572,0.00136994,0.00136994,0.00136994
11,5473.75,1.50181,1.33837,1.45785,0.6574,0.60625,0.63672,0.34431,1.54589,1.29492,1.47365,0.00133693,0.00133693,0.00133693
12,5908.91,1.48592,1.33409,1.44018,0.67096,0.60831,0.65281,0.34631,1.55975,1.26745,1.46856,0.00130393,0.00130393,0.00130393
13,6328.99,1.46772,1.30328,1.43181,0.66684,0.60959,0.65829,0.3428,1.56163,1.28519,1.46393,0.00127092,0.00127092,0.00127092
14,6992.75,1.44868,1.27217,1.42505,0.67859,0.61691,0.66291,0.36132,1.5203,1.23443,1.44715,0.00123791,0.00123791,0.00123791
15,7527.28,1.4528,1.26543,1.42593,0.65222,0.61357,0.65535,0.35002,1.56497,1.26446,1.47738,0.00120491,0.00120491,0.00120491
16,8010.72,1.43872,1.24844,1.41205,0.69275,0.5985,0.66347,0.3641,1.53623,1.24533,1.45145,0.0011719,0.0011719,0.0011719
17,8523.04,1.43371,1.22634,1.40891,0.69009,0.66106,0.70098,0.38386,1.50917,1.15096,1.42715,0.00113889,0.00113889,0.00113889
18,8909.21,1.4172,1.22005,1.39429,0.68649,0.65179,0.69065,0.37835,1.50411,1.17771,1.43105,0.00110589,0.00110589,0.00110589
19,9432.05,1.40964,1.19797,1.39149,0.69993,0.6624,0.70876,0.3898,1.49694,1.12833,1.4151,0.00107288,0.00107288,0.00107288
20,9919.89,1.40064,1.17576,1.39221,0.71435,0.64905,0.71028,0.38572,1.5133,1.15829,1.42029,0.00103987,0.00103987,0.00103987
21,10364.1,1.39178,1.16954,1.38283,0.70437,0.66209,0.71527,0.40054,1.47139,1.12314,1.41283,0.00100687,0.00100687,0.00100687
22,10808.7,1.38105,1.14886,1.37528,0.69377,0.63739,0.6899,0.3829,1.5021,1.16081,1.43406,0.000973861,0.000973861,0.000973861
23,11245.2,1.37786,1.14265,1.37006,0.72659,0.661,0.71693,0.4029,1.47198,1.0902,1.40596,0.000940855,0.000940855,0.000940855
24,11588.3,1.36703,1.12752,1.36249,0.69833,0.65936,0.71345,0.3957,1.47928,1.11649,1.40768,0.000907848,0.000907848,0.000907848
25,12038.3,1.35522,1.11012,1.35063,0.68704,0.68525,0.72056,0.4032,1.46683,1.10007,1.40187,0.000874842,0.000874842,0.000874842
26,12550.2,1.35091,1.09941,1.35495,0.71969,0.67609,0.72531,0.41119,1.4639,1.07948,1.40173,0.000841835,0.000841835,0.000841835
27,12996,1.34453,1.08521,1.34752,0.71749,0.67511,0.7285,0.41053,1.46486,1.07274,1.39876,0.000808828,0.000808828,0.000808828
28,13489.9,1.33225,1.07613,1.33777,0.72367,0.67562,0.73171,0.41299,1.45687,1.06637,1.39524,0.000775822,0.000775822,0.000775822
29,13983.6,1.3229,1.06195,1.33278,0.73597,0.68101,0.74059,0.41802,1.4461,1.05669,1.37598,0.000742815,0.000742815,0.000742815
30,14554.6,1.32503,1.05056,1.33442,0.74159,0.67642,0.74116,0.41938,1.45572,1.0387,1.39416,0.000709809,0.000709809,0.000709809
31,15078.7,1.30224,1.0262,1.31858,0.74005,0.68958,0.74427,0.42022,1.4532,1.0383,1.38285,0.000676802,0.000676802,0.000676802
32,15562.5,1.30068,1.01086,1.31204,0.74127,0.68534,0.74499,0.42336,1.45223,1.02747,1.3857,0.000643795,0.000643795,0.000643795
33,15937.1,1.29881,1.02613,1.31378,0.74044,0.68965,0.74526,0.42637,1.44006,1.02209,1.37454,0.000610789,0.000610789,0.000610789
34,16422.3,1.28227,0.99278,1.30205,0.736,0.70066,0.75553,0.43145,1.43737,1.00107,1.37159,0.000577782,0.000577782,0.000577782
35,16857.1,1.26911,0.97727,1.29267,0.74122,0.68946,0.74809,0.4276,1.43198,1.02038,1.36254,0.000544776,0.000544776,0.000544776
36,17419.2,1.2621,0.97298,1.28412,0.75115,0.69621,0.75942,0.43589,1.43066,0.99063,1.36454,0.000511769,0.000511769,0.000511769
37,17995.5,1.25468,0.94473,1.28641,0.76031,0.69667,0.75905,0.4383,1.42684,0.9789,1.36344,0.000478762,0.000478762,0.000478762
38,18522.2,1.24974,0.94165,1.28425,0.75452,0.69476,0.75849,0.43534,1.43052,0.98152,1.36472,0.000445756,0.000445756,0.000445756
39,18997.3,1.24614,0.93626,1.27653,0.75146,0.70572,0.76365,0.44067,1.42896,0.96574,1.36629,0.000412749,0.000412749,0.000412749
40,19470.2,1.23901,0.93058,1.27462,0.77258,0.70013,0.76833,0.44542,1.41323,0.95205,1.36086,0.000379743,0.000379743,0.000379743
41,19970,1.27618,0.90241,1.30443,0.74843,0.70532,0.75927,0.44376,1.41958,0.96259,1.36766,0.000346736,0.000346736,0.000346736
42,20629,1.26122,0.87297,1.29186,0.76111,0.70392,0.76348,0.44483,1.42255,0.9495,1.3652,0.000313729,0.000313729,0.000313729
43,21122.3,1.23893,0.85052,1.27769,0.76522,0.709,0.7664,0.44678,1.42487,0.95509,1.36372,0.000280723,0.000280723,0.000280723
44,21682.1,1.2304,0.83539,1.27302,0.76204,0.70865,0.7702,0.4503,1.40885,0.94371,1.36048,0.000247716,0.000247716,0.000247716
45,22096.7,1.22185,0.82583,1.26896,0.77531,0.69703,0.7667,0.44982,1.40568,0.93466,1.3597,0.00021471,0.00021471,0.00021471
46,22518.9,1.20343,0.80118,1.25223,0.76328,0.71473,0.77207,0.45179,1.41709,0.93071,1.37019,0.000181703,0.000181703,0.000181703
47,22984.4,1.19121,0.79109,1.24633,0.77434,0.7039,0.77401,0.45181,1.41422,0.9291,1.36781,0.000148696,0.000148696,0.000148696
48,23431.9,1.18278,0.77451,1.24239,0.76451,0.70837,0.77292,0.45381,1.40862,0.92524,1.36395,0.00011569,0.00011569,0.00011569
49,23926.8,1.17202,0.76315,1.23766,0.78039,0.70487,0.77437,0.45434,1.41024,0.9243,1.36401,8.26832e-05,8.26832e-05,8.26832e-05
50,24529.7,1.15386,0.74804,1.22485,0.78539,0.70053,0.77566,0.45367,1.41569,0.92203,1.37402,4.96766e-05,4.96766e-05,4.96766e-05
