epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.6512,1.64981,2.20412,1.52942,0.44914,0.41732,0.35962,0.15804,1.87957,2.1708,1.72937,0.000554577,0.000554577,0.000554577
2,145.049,1.69222,1.7615,1.55144,0.5297,0.44897,0.46593,0.21695,1.77398,1.8609,1.61204,0.00108826,0.00108826,0.00108826
3,212.942,1.67469,1.65097,1.53771,0.47672,0.45981,0.43562,0.1977,1.8394,1.83602,1.6887,0.00159994,0.00159994,0.00159994
4,280.767,1.64176,1.59034,1.51164,0.53301,0.49231,0.48843,0.23079,1.78795,1.67739,1.60833,0.00156798,0.00156798,0.00156798
5,348.385,1.60649,1.50903,1.49366,0.5893,0.54096,0.55844,0.27564,1.68431,1.49812,1.50675,0.00153497,0.00153497,0.00153497
6,416.349,1.58037,1.47326,1.46798,0.58677,0.53495,0.55632,0.27916,1.6956,1.48551,1.49156,0.00150197,0.00150197,0.00150197
7,484.383,1.55639,1.43719,1.45392,0.58579,0.55152,0.58517,0.29117,1.64663,1.46294,1.47735,0.00146896,0.00146896,0.00146896
8,552.312,1.54149,1.40312,1.44058,0.62202,0.57623,0.60104,0.31101,1.62463,1.39959,1.48302,0.00143595,0.00143595,0.00143595
9,620.035,1.52376,1.38339,1.43143,0.65004,0.59823,0.62718,0.33076,1.57942,1.34215,1.43759,0.00140295,0.00140295,0.00140295
10,689.248,1.50399,1.35663,1.41613,0.65674,0.59682,0.64191,0.33902,1.59951,1.30808,1.44534,0.00136994,0.00136994,0.00136994
11,759.228,1.50206,1.32847,1.40872,0.64475,0.57754,0.60919,0.32017,1.62597,1.35962,1.4664,0.00133693,0.00133693,0.00133693
12,827.253,1.48581,1.31306,1.39895,0.6295,0.60096,0.62554,0.33014,1.58163,1.32292,1.44511,0.00130393,0.00130393,0.00130393
13,894.954,1.47615,1.29075,1.39273,0.67477,0.57772,0.63275,0.33668,1.5777,1.3134,1.44275,0.00127092,0.00127092,0.00127092
14,962.581,1.4575,1.27681,1.38147,0.65347,0.59463,0.62898,0.33876,1.57414,1.33081,1.44385,0.00123791,0.00123791,0.00123791
15,1030.24,1.46808,1.26868,1.39389,0.65266,0.60765,0.64369,0.34514,1.56003,1.28167,1.4037,0.00120491,0.00120491,0.00120491
16,1097.76,1.45555,1.25189,1.37846,0.66249,0.61409,0.65701,0.35676,1.53607,1.2365,1.42228,0.0011719,0.0011719,0.0011719
17,1165.64,1.44464,1.23536,1.37427,0.67579,0.6298,0.67424,0.36501,1.54152,1.21962,1.40235,0.00113889,0.00113889,0.00113889
18,1233.27,1.43091,1.22656,1.36336,0.67932,0.62824,0.67034,0.36605,1.52757,1.20952,1.39551,0.00110589,0.00110589,0.00110589
19,1301.13,1.4277,1.21219,1.35945,0.70329,0.61736,0.68501,0.37391,1.52547,1.19016,1.39561,0.00107288,0.00107288,0.00107288
20,1368.95,1.41514,1.19043,1.35759,0.7053,0.61575,0.67416,0.37162,1.51675,1.21152,1.39268,0.00103987,0.00103987,0.00103987
21,1436.79,1.40325,1.17032,1.34179,0.68846,0.63475,0.68461,0.37982,1.49465,1.16456,1.38066,0.00100687,0.00100687,0.00100687
22,1504.44,1.40219,1.16495,1.34122,0.70151,0.64354,0.70369,0.39233,1.46633,1.13544,1.36237,0.000973861,0.000973861,0.000973861
23,1572.14,1.39652,1.16338,1.33775,0.69195,0.65263,0.70131,0.39411,1.48238,1.11852,1.36252,0.000940855,0.000940855,0.000940855
24,1639.84,1.40004,1.15406,1.33739,0.69637,0.64916,0.70413,0.3918,1.48341,1.13405,1.3594,0.000907848,0.000907848,0.000907848
25,1707.6,1.38028,1.13679,1.32317,0.70681,0.64882,0.69837,0.39234,1.47757,1.13484,1.36558,0.000874842,0.000874842,0.000874842
26,1775.03,1.37483,1.12453,1.32336,0.71362,0.6595,0.71466,0.40051,1.46938,1.10057,1.34668,0.000841835,0.000841835,0.000841835
27,1842.86,1.36692,1.10917,1.31675,0.70218,0.66367,0.71373,0.4025,1.46182,1.10604,1.34529,0.000808828,0.000808828,0.000808828
28,1910.7,1.3649,1.10512,1.31595,0.69707,0.66891,0.7185,0.4079,1.46017,1.08273,1.34372,0.000775822,0.000775822,0.000775822
29,1978.44,1.35368,1.09237,1.31079,0.71543,0.65574,0.7118,0.40539,1.45709,1.10053,1.34211,0.000742815,0.000742815,0.000742815
30,2046.06,1.34946,1.09129,1.30912,0.7199,0.67601,0.72301,0.41099,1.46033,1.06844,1.35318,0.000709809,0.000709809,0.000709809
31,2113.8,1.33265,1.06393,1.29373,0.72097,0.66878,0.72829,0.41317,1.45249,1.07378,1.33529,0.000676802,0.000676802,0.000676802
32,2182.77,1.33307,1.05245,1.29001,0.71762,0.67894,0.73378,0.4174,1.45415,1.0607,1.32993,0.000643795,0.000643795,0.000643795
33,2253.26,1.33784,1.07227,1.29679,0.71474,0.67179,0.72504,0.41188,1.45946,1.06054,1.3454,0.000610789,0.000610789,0.000610789
34,2321.01,1.32062,1.03795,1.2816,0.71167,0.67682,0.7298,0.41764,1.44829,1.0534,1.32708,0.000577782,0.000577782,0.000577782
35,2388.61,1.30565,1.02606,1.27998,0.74715,0.66572,0.73095,0.41832,1.44304,1.04858,1.3291,0.000544776,0.000544776,0.000544776
36,2456.46,1.30978,1.02161,1.27367,0.73572,0.67849,0.73687,0.41997,1.45124,1.03832,1.33045,0.000511769,0.000511769,0.000511769
37,2523.84,1.29984,1.00709,1.27194,0.72971,0.68314,0.74024,0.42645,1.4392,1.0247,1.3258,0.000478762,0.000478762,0.000478762
38,2591.46,1.30322,1.00812,1.27409,0.73502,0.68511,0.74244,0.42631,1.43281,1.02953,1.31682,0.000445756,0.000445756,0.000445756
39,2658.86,1.29628,0.99524,1.26235,0.72676,0.68344,0.74172,0.42443,1.44003,1.0237,1.32168,0.000412749,0.000412749,0.000412749
