epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.416,1.67375,2.03214,1.5663,0.41276,0.42044,0.35559,0.15136,1.95372,2.54991,1.75094,0.000554577,0.000554577,0.000554577
2,231.222,1.72909,1.71746,1.58573,0.48995,0.47453,0.45068,0.19035,1.89141,1.86574,1.67016,0.00108826,0.00108826,0.00108826
3,343.899,1.69059,1.64732,1.56538,0.54121,0.50344,0.49616,0.23028,1.82334,1.67856,1.6567,0.00159994,0.00159994,0.00159994
4,455.979,1.65506,1.59328,1.53137,0.5635,0.51124,0.52442,0.2489,1.77744,1.63107,1.61429,0.00156798,0.00156798,0.00156798
5,567.8,1.60109,1.51062,1.49538,0.58357,0.56536,0.56513,0.27669,1.70634,1.49955,1.52426,0.00153497,0.00153497,0.00153497
6,679.619,1.57842,1.44968,1.47012,0.59573,0.56955,0.58534,0.29184,1.68345,1.44242,1.51707,0.00150197,0.00150197,0.00150197
7,791.816,1.55719,1.42527,1.4595,0.59641,0.55844,0.58372,0.29293,1.64445,1.44906,1.4829,0.00146896,0.00146896,0.00146896
8,903.55,1.5277,1.37389,1.43473,0.65139,0.58299,0.62644,0.3255,1.61628,1.36162,1.47614,0.00143595,0.00143595,0.00143595
9,1015.29,1.52252,1.36967,1.43435,0.66645,0.57768,0.62764,0.32798,1.61621,1.34163,1.46567,0.00140295,0.00140295,0.00140295
10,1126.54,1.48765,1.31772,1.40828,0.64416,0.5822,0.61812,0.31992,1.61669,1.38017,1.45796,0.00136994,0.00136994,0.00136994
11,1237.79,1.49283,1.30327,1.41172,0.66104,0.59419,0.63591,0.33954,1.59154,1.31698,1.46033,0.00133693,0.00133693,0.00133693
12,1348.64,1.46779,1.28608,1.39288,0.64234,0.61022,0.63475,0.33856,1.55852,1.28617,1.44268,0.00130393,0.00130393,0.00130393
13,1459.67,1.46901,1.26813,1.39356,0.6663,0.60289,0.65129,0.33816,1.58355,1.27758,1.43097,0.00127092,0.00127092,0.00127092
14,1571.02,1.44786,1.23704,1.38047,0.68415,0.61165,0.66681,0.35796,1.55801,1.25032,1.42492,0.00123791,0.00123791,0.00123791
15,1682.16,1.44596,1.22798,1.38508,0.65609,0.61278,0.65452,0.34994,1.55112,1.25055,1.40385,0.00120491,0.00120491,0.00120491
16,1793.39,1.42711,1.20753,1.36862,0.69649,0.63281,0.68813,0.38131,1.50521,1.17284,1.39603,0.0011719,0.0011719,0.0011719
17,1904.56,1.42061,1.19746,1.36427,0.69316,0.64617,0.69201,0.3786,1.51814,1.17116,1.4033,0.00113889,0.00113889,0.00113889
18,2015.65,1.41428,1.18169,1.35599,0.68745,0.62266,0.67887,0.37092,1.53451,1.18562,1.41025,0.00110589,0.00110589,0.00110589
19,2126.87,1.40399,1.16594,1.34832,0.71001,0.63756,0.69889,0.3848,1.51642,1.14078,1.39241,0.00107288,0.00107288,0.00107288
20,2237.97,1.39869,1.14766,1.35199,0.70749,0.65189,0.7051,0.38761,1.52073,1.1542,1.39015,0.00103987,0.00103987,0.00103987
21,2349.14,1.38174,1.13331,1.33744,0.70433,0.64774,0.70476,0.3947,1.4806,1.12967,1.37773,0.00100687,0.00100687,0.00100687
22,2460.14,1.37764,1.1258,1.33224,0.6932,0.64763,0.69604,0.38769,1.49172,1.12986,1.38556,0.000973861,0.000973861,0.000973861
23,2571.39,1.37203,1.12225,1.32932,0.71969,0.66089,0.71909,0.40425,1.48158,1.10728,1.36593,0.000940855,0.000940855,0.000940855
24,2682.66,1.36115,1.10449,1.32009,0.71181,0.66457,0.72178,0.40487,1.48911,1.08691,1.36883,0.000907848,0.000907848,0.000907848
25,2793.68,1.35343,1.08626,1.31188,0.72055,0.65764,0.71978,0.39954,1.48758,1.08893,1.37507,0.000874842,0.000874842,0.000874842
26,2904.76,1.34813,1.06995,1.31,0.72448,0.66725,0.73225,0.41315,1.46246,1.0595,1.34721,0.000841835,0.000841835,0.000841835
27,3016.08,1.3415,1.06541,1.3071,0.72118,0.68693,0.7389,0.41898,1.46137,1.04534,1.3593,0.000808828,0.000808828,0.000808828
28,3127.02,1.33391,1.05913,1.30252,0.72557,0.67317,0.72899,0.41465,1.45768,1.05303,1.34975,0.000775822,0.000775822,0.000775822
29,3238.21,1.32462,1.03859,1.29611,0.73742,0.68429,0.74,0.42123,1.44338,1.04489,1.34043,0.000742815,0.000742815,0.000742815
30,3349.33,1.31484,1.02639,1.29186,0.73507,0.68128,0.74152,0.42093,1.45353,1.02892,1.34335,0.000709809,0.000709809,0.000709809
31,3460.71,1.30547,1.00204,1.28007,0.72969,0.69072,0.74089,0.42014,1.4566,1.03198,1.33972,0.000676802,0.000676802,0.000676802
32,3571.68,1.29503,0.99474,1.27461,0.74258,0.69339,0.75127,0.43239,1.44727,1.00767,1.33607,0.000643795,0.000643795,0.000643795
33,3683.11,1.29912,1.00538,1.27954,0.73175,0.6847,0.74199,0.42419,1.44844,1.00889,1.34208,0.000610789,0.000610789,0.000610789
34,3794.15,1.28465,0.98468,1.26719,0.73758,0.69009,0.75003,0.43297,1.42567,1.00048,1.32348,0.000577782,0.000577782,0.000577782
35,3905.46,1.26552,0.96248,1.26182,0.74991,0.68866,0.75463,0.43091,1.43932,0.99189,1.33301,0.000544776,0.000544776,0.000544776
36,4016.56,1.27101,0.95688,1.2568,0.74255,0.69931,0.75533,0.43458,1.44059,0.98439,1.33456,0.000511769,0.000511769,0.000511769
37,4127.63,1.2562,0.93328,1.25102,0.74309,0.69243,0.74936,0.43256,1.4337,0.98943,1.32826,0.000478762,0.000478762,0.000478762
38,4238.73,1.25691,0.93823,1.25317,0.74361,0.6956,0.75434,0.43761,1.43036,0.98288,1.32712,0.000445756,0.000445756,0.000445756
39,4350.02,1.25372,0.92716,1.24465,0.7384,0.70707,0.75842,0.43697,1.43369,0.98138,1.33246,0.000412749,0.000412749,0.000412749
40,4461.14,1.24695,0.92406,1.24614,0.75338,0.70519,0.7638,0.44317,1.41395,0.96289,1.32108,0.000379743,0.000379743,0.000379743
41,4584.32,1.28023,0.8973,1.26888,0.7583,0.69635,0.75857,0.44187,1.42329,0.97335,1.325,0.000346736,0.000346736,0.000346736
42,4695.19,1.26392,0.86378,1.25501,0.75559,0.70135,0.75901,0.44344,1.42196,0.95927,1.32644,0.000313729,0.000313729,0.000313729
43,4806.43,1.24543,0.85085,1.24366,0.75123,0.69557,0.75764,0.44102,1.42862,0.96758,1.33353,0.000280723,0.000280723,0.000280723
44,4917.18,1.23114,0.82753,1.23534,0.75798,0.69411,0.75778,0.44297,1.41912,0.9627,1.32594,0.000247716,0.000247716,0.000247716
45,5027.76,1.22279,0.81876,1.23148,0.76346,0.69705,0.76405,0.44472,1.42864,0.95066,1.33642,0.00021471,0.00021471,0.00021471
46,5138.68,1.21274,0.79836,1.21935,0.74252,0.7129,0.76254,0.44467,1.43422,0.9505,1.34016,0.000181703,0.000181703,0.000181703
47,5249.5,1.19486,0.78538,1.21283,0.75866,0.70341,0.76404,0.44688,1.41901,0.94784,1.32652,0.000148696,0.000148696,0.000148696
48,5360.38,1.18877,0.76783,1.20839,0.76565,0.69882,0.76481,0.44945,1.4144,0.94383,1.328,0.00011569,0.00011569,0.00011569
49,5471.41,1.18123,0.75777,1.20526,0.76209,0.70407,0.76399,0.44665,1.42496,0.93876,1.33648,8.26832e-05,8.26832e-05,8.26832e-05
50,5582.34,1.16427,0.74859,1.19403,0.76076,0.70681,0.76584,0.44798,1.42158,0.93697,1.33616,4.96766e-05,4.96766e-05,4.96766e-05
