epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2605.1,1.81871,2.68067,1.6822,0.45427,0.40796,0.36425,0.15242,1.84623,2.12523,1.63729,0.000554577,0.000554577,0.000554577
2,5165.17,1.83101,1.9595,1.68114,0.46489,0.43927,0.41372,0.17455,1.91636,1.92768,1.66958,0.00100033,0.00100033,0.00100033
3,7728.01,1.82529,1.80102,1.66685,0.52464,0.4783,0.46779,0.20952,1.82754,1.78564,1.62995,0.00133606,0.00133606,0.00133606
4,10281.8,1.75215,1.69497,1.62139,0.52314,0.46343,0.45379,0.21615,1.84286,1.84751,1.6862,0.0011719,0.0011719,0.0011719
5,12839.8,1.69888,1.58183,1.56784,0.58677,0.514,0.52476,0.25777,1.71406,1.65183,1.55801,0.00100687,0.00100687,0.00100687
6,15409.3,1.63599,1.49112,1.52145,0.57332,0.51437,0.53268,0.2645,1.69519,1.63081,1.53594,0.000841835,0.000841835,0.000841835
7,17966.1,1.59765,1.41889,1.49451,0.63647,0.57773,0.61246,0.32974,1.56712,1.43744,1.44137,0.000676802,0.000676802,0.000676802
8,20523.4,1.55277,1.34683,1.46246,0.66027,0.6143,0.65208,0.34907,1.54971,1.33852,1.43879,0.000511769,0.000511769,0.000511769
9,23080,1.50913,1.28238,1.43276,0.67491,0.61339,0.66154,0.36314,1.53401,1.30748,1.41721,0.000346736,0.000346736,0.000346736
10,25640.3,1.4716,1.22622,1.39976,0.68655,0.64564,0.69294,0.38269,1.49669,1.22696,1.38231,0.000181703,0.000181703,0.000181703
